Generator,Generator type,Region,ISP sub-region,REZ location,Fuel/technology type,Maximum capacity (MW),Summer rating (MW),Summer typical rating (MW),Winter rating (MW),Maintenance duration (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary load (%),SRMC ($/MWh),Expected retirement year
Tungatinah,Hydro,TAS,TAS,N/A,Hydro,125,130,130,130,0.27,69.51,8.58,0.00,0.00,0.00,0.88,0.34,8.58,2100
Bogong / Mackay,Hydro,VIC,VIC,N/A,Hydro,300,300,300,300,0.27,69.51,8.58,0.00,0.00,0.00,0.97,0.34,8.58,2057
Dartmouth,Hydro,VIC,VIC,N/A,Hydro,185,170,170,170,0.27,69.51,8.58,0.00,0.00,0.00,0.96,0.34,8.58,2057
Eildon,Hydro,VIC,VIC,N/A,Hydro,135,120,120,120,0.27,69.51,8.58,0.00,0.00,0.00,1.00,0.34,8.58,2057
Hume Dam VIC,Hydro,VIC,VIC,N/A,Hydro,29,29,29,0,0.27,69.51,8.58,0.00,0.00,0.00,0.94,0.34,8.58,2057
Murray 1,Hydro,VIC,VIC,N/A,Hydro,950,950,950,950,0.27,69.51,8.58,0.00,0.00,0.00,0.99,0.34,8.58,2070
Murray 2,Hydro,VIC,VIC,N/A,Hydro,552,600,600,600,0.27,69.51,8.58,0.00,0.00,0.00,0.99,0.34,8.58,2070
West Kiewa,Hydro,VIC,VIC,N/A,Hydro,68,68,68,68,0.27,69.51,8.58,0.00,0.00,0.00,1.01,0.34,8.58,2057
Avonlie Solar Farm,Large scale Solar PV,NSW,SNSW,Wagga Wagga,Solar,254,190,190,190,0.00,18.18,0.00,0.00,0.00,0.00,1.00,0.02,0,2058
Beryl Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,98,77,83,87,0.00,18.18,0.00,0.00,0.00,0.00,0.93,0.02,0,2049
Bomen Solar Farm,Large scale Solar PV,NSW,SNSW,Wagga Wagga,Solar,121,98,99,100,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2050
Broken Hill Solar Farm,Large scale Solar PV,NSW,SNSW,Broken Hill,Solar,53,53,53,53,0.00,18.18,0.00,0.00,0.00,0.00,0.83,0.02,0,2043
Coleambally Solar Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,150,150,150,150,0.00,18.18,0.00,0.00,0.00,0.00,0.89,0.02,0,2038
Corowa Solar Farm,Large scale Solar PV,NSW,SNSW,South West NSW,Solar,36,30,30,30,0.00,18.18,0.00,0.00,0.00,0.00,0.94,0.02,0,2051
Darlington Point Solar Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,275,263,266,275,0.00,18.18,0.00,0.00,0.00,0.00,0.90,0.02,0,2055
Finley Solar Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,162,117,130,133,0.00,18.18,0.00,0.00,0.00,0.00,0.93,0.02,0,2049
Goonumbla Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,70,68,69,70,0.00,18.18,0.00,0.00,0.00,0.00,0.90,0.02,0,2050
Gullen Range Solar Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,10,10,10,10,0.00,18.18,0.00,0.00,0.00,0.00,0.96,0.02,0,2100
Gunnedah Solar Farm,Large scale Solar PV,NSW,NNSW,North West NSW,Solar,110,110,110,110,0.00,18.18,0.00,0.00,0.00,0.00,0.83,0.02,0,2056
Hillston Sun Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,110,77,85,85,0.00,18.18,0.00,0.00,0.00,0.00,0.90,0.02,0,2046
Jemalong Solar,Large scale Solar PV,NSW,CNSW,N/A,Solar,55,50,50,50,0.00,18.18,0.00,0.00,0.00,0.00,0.90,0.02,0,2050
Junee Solar Farm,Large scale Solar PV,NSW,SNSW,Wagga Wagga,Solar,36,30,30,30,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2050
Limondale Solar Farm 1,Large scale Solar PV,NSW,SNSW,South West NSW,Solar,230,207,220,220,0.00,18.18,0.00,0.00,0.00,0.00,0.83,0.02,0,2050
Limondale Solar Farm 2,Large scale Solar PV,NSW,SNSW,South West NSW,Solar,29,29,29,29,0.00,18.18,0.00,0.00,0.00,0.00,0.83,0.02,0,2050
Manildra Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,50,43,45,47,0.00,18.18,0.00,0.00,0.00,0.00,0.96,0.02,0,2048
Molong Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,36,32,36,36,0.00,18.18,0.00,0.00,0.00,0.00,0.97,0.02,0,2045
Moree Solar Farm,Large scale Solar PV,NSW,NNSW,North West NSW,Solar,56,56,56,56,0.00,18.18,0.00,0.00,0.00,0.00,0.80,0.02,0,2046
Nevertire Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,105,105,105,105,0.00,18.18,0.00,0.00,0.00,0.00,0.94,0.02,0,2049
New England Solar Farm,Large scale Solar PV,NSW,NNSW,New England,Solar,400,400,400,400,0.00,18.18,0.00,0.00,0.00,0.00,0.87,0.02,0,2052
Nyngan Solar Plant,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,102,102,102,102,0.00,18.18,0.00,0.00,0.00,0.00,0.99,0.02,0,2042
Parkes Solar Farm,Large scale Solar PV,NSW,CNSW,N/A,Solar,55,51,51,51,0.00,18.18,0.00,0.00,0.00,0.00,0.90,0.02,0,2058
Sunraysia Solar Farm,Large scale Solar PV,NSW,SNSW,South West NSW,Solar,229,191,200,200,0.00,18.18,0.00,0.00,0.00,0.00,0.83,0.02,0,2049
Suntop Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,150,150,150,150,0.00,18.18,0.00,0.00,0.00,0.00,0.92,0.02,0,2056
Wagga North Solar Farm,Large scale Solar PV,NSW,SNSW,Wagga Wagga,Solar,56,46,46,46,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2050
Wellington Solar Farm,Large scale Solar PV,NSW,CNSW,Central-West Orana,Solar,216,170,170,170,0.00,18.18,0.00,0.00,0.00,0.00,0.94,0.02,0,2051
West Wyalong Solar Farm,Large scale Solar PV,NSW,SNSW,N/A,Solar,105,90,90,90,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2058
White Rock Solar Farm,Large scale Solar PV,NSW,NNSW,New England,Solar,20,20,20,20,0.00,18.18,0.00,0.00,0.00,0.00,0.83,0.02,0,2043
Bluegrass Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,148,140,140,144,0.00,18.18,0.00,0.00,0.00,0.00,0.95,0.02,0,2057
Childers Solar Farm,Large scale Solar PV,QLD,SQ,Wide Bay,Solar,64,56,56,56,0.00,18.18,0.00,0.00,0.00,0.00,0.97,0.02,0,2049
Clare Solar Farm,Large scale Solar PV,QLD,NQ,Northern Qld,Solar,110,95,97,100,0.00,18.18,0.00,0.00,0.00,0.00,0.90,0.02,0,2047
Clermont Solar Farm,Large scale Solar PV,QLD,CQ,Isaac,Solar,93,71,73,75,0.00,18.18,0.00,0.00,0.00,0.00,0.92,0.02,0,2049
Collinsville Solar Farm,Large scale Solar PV,QLD,CQ,Isaac,Solar,43,40,41,43,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2044
Columboola Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,217,162,162,162,0.00,18.18,0.00,0.00,0.00,0.00,0.97,0.02,0,2046
Darling Downs Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,121,109,109,110,0.00,18.18,0.00,0.00,0.00,0.00,0.98,0.02,0,2036
Daydream Solar Farm,Large scale Solar PV,QLD,CQ,Isaac,Solar,168,146,147,150,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2048
Edenvale Solar Park,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,180,146,146,146,0.00,18.18,0.00,0.00,0.00,0.00,0.97,0.02,0,2053
Emerald Solar Farm,Large scale Solar PV,QLD,CQ,N/A,Solar,72,68,69,72,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2048
Gangarri Solar Farm,Large scale Solar PV,QLD,SQ,Darling Downs,Solar,162,120,120,120,0.00,18.18,0.00,0.00,0.00,0.00,0.98,0.02,0,2051
Hamilton Solar Farm,Large scale Solar PV,QLD,CQ,Isaac,Solar,58,54,55,56,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2048
Haughton Solar Farm,Large scale Solar PV,QLD,NQ,Northern Qld,Solar,133,100,100,100,0.00,18.18,0.00,0.00,0.00,0.00,0.92,0.02,0,2050
Hayman Solar Farm,Large scale Solar PV,QLD,CQ,Isaac,Solar,58,48,48,50,0.00,18.18,0.00,0.00,0.00,0.00,0.91,0.02,0,2048
